name;Location;Employee ID;Tax Class;AT Level;Status;Days Worked;Phone Number;Birthday;Password
Helmar Jockel;Stuttgart;86869117;1;AT2;ACTIVE;null;0154633743;1964-05-02;r6A7Co4kEB
Senol Martin;Munich;62357122;3;AT1;ACTIVE;null;0162716745;1973-11-17;sBdO4QUS83
Horst-Günter Kade;Dortmund;24370430;3;AT3;ACTIVE;null;0177314527;1999-07-12;gDP4Tm4Sqv
Gottlieb Neureuther;Dresden;38025540;3;AT1;ACTIVE;null;0155611690;1981-06-19;HOZNss9RLW
Wibke Köster;Dresden;60727213;1;AT2;ACTIVE;null;0154284635;1997-09-18;1rTYmw94lm
Ljubica Junk;Berlin;49612763;4;AT1;ACTIVE;16;0156697328;1979-04-18;0gN93dnzLd
Henriette Lorch;Dortmund;70063631;1;AT2;ACTIVE;null;0163922522;1989-08-04;TmwRtz5V59
Rochus Hänel;Hamburg;88850783;3;AT1;ACTIVE;null;0162470195;1982-05-11;eHDKJMoVJD
Lydia Hornich;Berlin;64145860;3;AT1;ACTIVE;14;0171655344;1993-02-23;jjwnZ2NL7g
Gülten Gierschner;Leipzig;29455228;3;AT1;ACTIVE;null;0179042777;1992-07-25;zEoamYSnbv
Eileen Reuter;Munich;88192281;4;AT2;ACTIVE;null;0165261837;1977-06-27;G73GqV8Fx6
Evangelos Scholz;Düsseldorf;64225132;3;AT2;ACTIVE;null;0157888621;1965-07-08;MNyH9tdhYN
Sina Holsten;Stuttgart;12798508;1;AT1;ACTIVE;null;0176029108;1988-07-01;8ZHPpruvln
Hedi Jopich;Dresden;25837554;3;AT1;ACTIVE;null;0172140981;1983-02-25;X49y9IeAYu
Susann Schenk;Frankfurt;21233182;1;AT2;ACTIVE;null;0163342312;1963-07-29;Pubg4CVvPJ
Marietta Dippel;Hamburg;95502148;3;AT1;ACTIVE;7;0177511101;1995-06-18;BZoEy1k8vq
Kordula Dowerg;Berlin;75648554;4;AT1;ACTIVE;null;0171710951;1987-04-16;GOtNyQNFF1
Hans Josef Schuster;Stuttgart;24473147;3;AT1;ACTIVE;null;0162076661;1984-03-19;npax5pvH5D
Henny van der Dussen;Munich;82435187;4;AT1;ACTIVE;null;0152127785;1979-03-04;m4zaTLxa60
Hans-Herbert Gorlitz;Munich;12784362;4;AT1;ACTIVE;5;0170483272;1971-10-05;k7ajl7S8Fu
Johanna Holt;Dortmund;93564379;3;AT1;ACTIVE;null;0167421383;1961-02-16;RLnYGt9BQh
Solveig Weinhold;Dresden;13317649;3;AT1;ACTIVE;null;0175182038;1967-05-04;jNzfIZWkQU
Eduard Gerlach;Leipzig;42005390;1;AT1;ACTIVE;null;0175995055;1966-02-09;Sv6H7E7Yuw
Eva-Marie Zimmer;Düsseldorf;27318937;1;AT2;ACTIVE;null;0158598608;1990-12-18;4i48f2Jef3
Faruk Christoph;Berlin;39499768;1;AT1;ACTIVE;3;0176826673;1961-09-12;gFO4ZcPf4I
Necati Dörr;Leipzig;28689451;3;AT1;ACTIVE;null;0178711095;1986-07-13;yCIu85gpGn
Asta Hoffmann;Dresden;13719097;1;AT1;ACTIVE;null;0165849238;1962-01-01;pGcy2DPCQh
Antonie Kaul;Frankfurt;63466690;3;AT1;ACTIVE;null;0166496650;1993-12-04;DSqmyXlm9w
Rosalie Schenk;Dresden;23168903;4;AT2;ACTIVE;null;0156810444;1997-08-10;3z0SRFVqDq
Heinz Budig;Leipzig;86752079;4;AT1;ACTIVE;18;0178927147;1974-01-02;DL6JV4pn3k
Nikolas Heydrich;Düsseldorf;24747547;3;AT1;ACTIVE;null;0160948568;1967-10-23;3KajdbelaU
John Stiffel;Dresden;13423666;3;AT3;ACTIVE;null;0153869140;1999-05-18;izA6C6Y8Hs
Regina Franke;Hamburg;37497565;1;AT3;ACTIVE;null;0166702751;1985-12-04;7lQl4kr6QO
Hansjörg Martin;Frankfurt;93109789;4;AT2;ACTIVE;null;0150795173;1996-07-02;6T7KQinRYN
Marius Killer;Munich;32262858;4;AT1;ACTIVE;null;0165398365;1993-03-12;lyos1dE8nH
Annegrete Trupp;Munich;30175829;4;AT1;ACTIVE;null;0169875866;1967-10-26;c3gbrpygQP
Karola auch Schlauchin;Stuttgart;39483048;4;AT1;ACTIVE;null;0177271111;1983-11-04;rLi2f6fbVP
Maria-Theresia Radisch;Leipzig;34762094;3;AT3;ACTIVE;null;0179878325;1962-03-31;XYohBRD2So
Chantal Ruppert;Berlin;78127014;1;AT2;ACTIVE;12;0156056325;1974-03-28;xgPjnoJUgu
Fatima Ditschlerin;Berlin;64210356;1;AT1;ACTIVE;null;0175465185;1965-08-20;WoW0nMOjmm
Henni Neureuther;Frankfurt;58344682;3;AT2;ACTIVE;null;0158801011;1982-01-26;VMFKHUDTKa
Ivo Lorch;Hamburg;15263670;1;AT1;ACTIVE;11;0167920220;1972-10-05;EJsREpRdbq
Inna Fliegner;Dresden;54553744;3;AT1;ACTIVE;null;0160114077;1977-09-15;5p0MjELCNM
Dennis Schröder;Frankfurt;98198992;3;AT3;ACTIVE;17;0168725326;1976-01-12;VpMFRWu26y
Teresa Seip;Essen;64747719;1;AT2;ACTIVE;null;0172936913;1962-10-30;fKrst5xxSL
Detlev Lübs;Frankfurt;65181446;4;AT1;ACTIVE;null;0157990905;1970-03-31;YsxjHU02ED
Nico Hübel;Stuttgart;14605005;4;AT1;ACTIVE;null;0158977994;1982-06-17;4DWPjFCnuN
Gunnar Hande;Dresden;31679018;4;AT1;ACTIVE;null;0163093605;1975-11-15;NUHNnZp5TX
Ricarda Schleich;Hamburg;77972740;4;AT2;ACTIVE;null;0151222599;1991-04-18;T0GWD3bP17
Raik Ernst;Berlin;31797438;3;AT2;ACTIVE;null;0176318551;1975-05-28;EYc1VNeYuH
Dierk Nette;Essen;55701766;3;AT3;ACTIVE;null;0166157474;1975-04-06;OQb1ryF3YB
Xenia Kohl;Leipzig;74689307;3;AT3;ACTIVE;null;0164594365;1994-11-25;CgpFYp9cj5
Daniela Hübel;Berlin;74503463;3;AT1;ACTIVE;null;0151657497;1995-08-03;Wc0KJityDz
Miguel Gnatz;Frankfurt;89708456;1;AT1;ACTIVE;null;0152175721;1964-02-11;j7sfzI2qp5
Ludwina Gerlach;Leipzig;49061418;3;AT1;ACTIVE;null;0158117687;1962-04-01;g7B0oOGlfV
Sandor Köhler;Stuttgart;79374406;1;AT2;ACTIVE;null;0154573385;1999-03-14;vDCsv4ES9n
Cläre Schottin;Düsseldorf;80261049;1;AT1;ACTIVE;null;0174791289;1995-08-24;qFG5MOAhgA
Mathilde Plath;Leipzig;70880034;3;AT1;ACTIVE;null;0155309751;1975-02-17;INOGX35N62
Dagobert Conradi;Berlin;67481513;1;AT3;ACTIVE;null;0175460346;1969-10-15;7ooZO2fmMb
Hans-Hinrich Loos;Düsseldorf;11245010;4;AT2;ACTIVE;null;0153340953;1980-05-05;S8JCRsiaAT
Harm Hesse;Düsseldorf;15136458;1;AT1;ACTIVE;null;0151925203;1987-09-17;QUEzcnPUSJ
Annemarie Jähn;Stuttgart;72430064;4;AT1;ACTIVE;null;0156105803;1990-04-15;TCwpnk5RJX
Norma Reichmann;Leipzig;90665375;3;AT2;ACTIVE;null;0155883167;1992-09-26;EZDaXLYmdh
Anne-Marie Bonbach;Berlin;32610461;1;AT1;ACTIVE;null;0168006532;1963-04-11;08jnRnyeli
Alwina Pölitz;Stuttgart;18926026;4;AT2;ACTIVE;null;0152252489;1983-10-23;2t5L4QnJ5w
Juri Drewes;Dresden;54594076;4;AT2;ACTIVE;8;0158487704;1974-03-25;E1CbTxTAyD
Diethard Huhn;Frankfurt;84528005;4;AT1;ACTIVE;null;0159741287;1984-08-14;rYyfGJuT4G
Siegrid Etzler;Hamburg;70287427;3;AT1;ACTIVE;null;0152387531;1975-07-12;nWIPayxc0a
Heiderose Ebert;Frankfurt;13751015;1;AT1;ACTIVE;null;0156583713;1964-02-08;nIr7IIkyNc
Franz Wagner;Dresden;66478152;3;AT1;ACTIVE;null;0170560218;1995-11-16;JXnfd0a464
Dorina Walter;Leipzig;70184817;1;AT1;ACTIVE;null;0171013334;1966-04-29;rHEK7BU18J
Anny Henck;Berlin;19366554;3;AT2;ACTIVE;null;0164569282;1991-12-11;fIIIprATlF
Susanne Schomber;Dresden;63756461;4;AT2;ACTIVE;null;0175572923;1981-08-11;FIZNU5ox7S
Rita Hethur;Munich;35591296;3;AT1;ACTIVE;null;0179853505;1982-03-15;cocvUEqmT0
Yvette Hiller;Hamburg;92179318;4;AT1;ACTIVE;9;0157737346;1983-05-26;W2PvLDCoVu
Miguel Tschentscher;Leipzig;91999590;1;AT3;ACTIVE;null;0159352327;1970-10-31;Q6JxlNX7WL
Gerlind Holzapfel;Stuttgart;25816160;3;AT1;ACTIVE;null;0177166198;1977-08-02;KzdvDVj4X8
Svenja Renner;Berlin;88995448;3;AT1;ACTIVE;null;0155483875;1996-03-27;uwyuqfTBgK
Trudi Seip;Düsseldorf;38875205;1;AT1;ACTIVE;null;0162968969;1986-01-02;iyZcFRzwds
Mariusz Bolzmann;Dresden;79526323;1;AT3;ACTIVE;null;0166816236;1997-05-30;yFEq9bsLRh
Arthur Köster;Berlin;18769801;3;AT1;ACTIVE;null;0170517982;2000-02-17;AxuAlJMbg9
Leila Schuchhardt;Munich;71123410;1;AT3;ACTIVE;null;0175343998;1977-04-08;gMFUyEjb60
Philomena Haering;Berlin;41864463;3;AT1;ACTIVE;null;0154993613;1981-04-23;HWneyjt27F
Isabelle Bloch;Hamburg;44943031;1;AT2;ACTIVE;null;0172221072;1967-03-24;hC53IqNOhv
Andrzej Bohlander;Frankfurt;50595211;3;AT1;ACTIVE;null;0173419123;1974-02-24;IiOgZcbrZ3
Gülsen Rogge;Frankfurt;78909702;4;AT1;ACTIVE;null;0176071747;1986-02-18;t1cwMl524K
Marita Schmiedt;Leipzig;77183844;4;AT1;ACTIVE;17;0160855848;1978-07-07;Fkl1w6EJxh
Niklas Eckbauer;Essen;87566639;1;AT1;ACTIVE;null;0150293131;1988-06-10;QrLMkpAURF
Siegried Birnbaum;Dresden;34379994;4;AT1;ACTIVE;null;0172317674;1971-02-26;cDVVs84kBo
Bert Liebelt;Berlin;79710643;4;AT1;ACTIVE;null;0165072111;1989-10-24;F5HBnDiPy1
Raissa Oderwald;Dortmund;13919698;3;AT1;ACTIVE;null;0174759111;1984-11-09;KJfJ10zwoZ
Gislinde Löchel;Hamburg;71204714;3;AT3;ACTIVE;null;0172129926;1998-02-26;YXs9ZhBevm
Christoph Eckbauer;Dortmund;73997544;3;AT1;ACTIVE;null;0174286418;1995-09-29;01gJ8Fv9Go
Amanda Eigenwillig;Berlin;62868564;4;AT1;ACTIVE;null;0158343755;1971-03-05;4sTFnH2lS3
Filippo Kobelt;Leipzig;71110129;4;AT1;ACTIVE;null;0151170900;1979-03-18;NtXfVRRVKw
Karl-August Juncken;Essen;85618195;3;AT1;ACTIVE;null;0171245430;1988-01-06;HklbqHIhou
Monica Wende;Stuttgart;30728235;4;AT1;ACTIVE;null;0151445639;1993-07-28;Fn69aZAlAS
Kreszentia Segebahn;Hamburg;36577496;4;AT3;ACTIVE;null;0163766677;1981-03-11;5DrpRKQHZk
Michaele Lachmann;Essen;69854939;3;AT1;ACTIVE;null;0155286434;1993-03-03;QZUJ7HXUiq
Angela Drub;Hamburg;46091905;3;AT1;ACTIVE;null;0179735792;1983-08-08;w6SzRUCJ42
Anna-Marie Haering;Berlin;54058655;1;AT3;ACTIVE;null;0167167930;1987-08-25;bpBNSkSxYb
Cilli Gutknecht;Essen;94781980;1;AT3;ACTIVE;null;0179524758;1969-04-13;sDnL0FWT0D
Jan Scheel;Dortmund;27398091;1;AT1;ACTIVE;null;0157904037;1980-02-20;JzeOtSLbU0
Nicolas Krebs;Düsseldorf;71265623;1;AT1;ACTIVE;null;0152606066;1977-05-15;Z4o44uBNIw
Paul-Heinz Siering;Hamburg;24480092;1;AT2;ACTIVE;null;0157675727;1984-09-20;MA7snBZ5hY
Elsa Mielcarek;Dresden;12006145;1;AT1;ACTIVE;null;0176707738;1998-07-08;XTP7e0gumN
Cynthia Lachmann;Essen;44195764;1;AT1;ACTIVE;null;0166780339;1981-07-16;E5b3oo2d5s
Kristiane Jähn;Berlin;78933693;1;AT1;ACTIVE;null;0177736757;1983-05-24;DasRHiOoaS
Marica Gröttner;Leipzig;49985383;3;AT1;ACTIVE;null;0156824357;1966-09-03;SZK2Un5Gcl
Gottlob Kroker;Leipzig;61536358;3;AT1;ACTIVE;null;0164987897;1977-04-14;FL8PevV5M6
Martha Heinrich;Stuttgart;67019722;4;AT1;ACTIVE;null;0161449232;1999-12-24;ZjQIJ5HFXv
Michaela Oderwald;Leipzig;93493376;3;AT1;ACTIVE;null;0173293661;1988-02-12;LJdWiboqGm
Carolin Faust;Stuttgart;62681828;1;AT1;ACTIVE;null;0179917489;1990-11-23;zkoTS9W3tM
Swantje Paffrath;Düsseldorf;29272045;1;AT1;ACTIVE;null;0172575630;1986-01-14;nEZOQL4xch
Denise Walter;Essen;91544338;3;AT1;ACTIVE;null;0155633528;1986-10-13;tm2WQauCsj
Karlheinz Wohlgemut;Stuttgart;76905171;4;AT2;ACTIVE;null;0157842701;1961-12-03;w3vVriLQE8
Kuno Sorgatz;Düsseldorf;93207971;4;AT1;ACTIVE;null;0172587065;1964-08-06;tu5Bj0RIGy
Ljiljana Ebert;Frankfurt;83406729;1;AT1;ACTIVE;null;0176180074;1961-05-30;26VD4bV8hX
Tatjana Stolze;Düsseldorf;46516553;1;AT1;ACTIVE;null;0162287343;1964-11-10;SmI2k5JH07
Kristina Liebelt;Berlin;72440403;1;AT1;ACTIVE;null;0170870788;1982-11-06;5c6kMU0aAW
Marcus Hamann;Frankfurt;26309670;3;AT1;ACTIVE;null;0178490962;1993-07-17;4dYeMbJvoq
Rosalie Heinrich;Dortmund;62512161;3;AT1;ACTIVE;null;0156598704;1997-01-24;K2ObuKqrVx
Hansjürgen Albers;Hamburg;43841618;4;AT1;ACTIVE;null;0166451908;1977-04-25;WY3oav5CVt
Marc Spieß;Frankfurt;65298045;1;AT3;ACTIVE;null;0156776300;1965-06-15;LMwrF4aEPS
Hedwig Löwer;Frankfurt;98080368;4;AT1;ACTIVE;null;0172792912;1980-01-25;uSOTloW9Px
Hans-Henning Heser;Berlin;54263525;1;AT1;ACTIVE;null;0170848500;1999-01-01;uu4iuinDrF
Stella Riehl;Essen;88104975;3;AT1;ACTIVE;null;0169665930;1969-01-30;fk09JcZG5g
Miroslaw Gierschner;Leipzig;10716726;3;AT1;ACTIVE;null;0162098397;1995-10-17;GBxmWenrDp
Nicole Ebert;Düsseldorf;71401879;1;AT2;ACTIVE;null;0167516507;1988-12-28;mlhywq3yss
Natalie Staude;Stuttgart;82876467;1;AT1;ACTIVE;null;0169585509;1979-04-29;fbJAiq3Tf9
Valeria Weitzel;Munich;51404816;4;AT3;ACTIVE;null;0159622780;1994-03-03;TIvpPsEBfv
Rigo Junk;Essen;85796094;4;AT3;ACTIVE;null;0161986365;1996-06-10;Od2dE2PpQP
Berta Putz;Essen;36312743;3;AT1;ACTIVE;null;0155773462;1967-03-07;ku3Oi3QDFU
Olena Bruder;Munich;49616612;1;AT1;ACTIVE;null;0179826203;1992-08-11;XAGXUDnqzJ
Georgine Beckmann;Berlin;81937374;3;AT3;ACTIVE;null;0153600871;1970-08-05;LFdFUPiV2v
Sibylla Walter;Essen;67144996;1;AT1;ACTIVE;null;0168676039;1972-11-02;zIYaSQiRoW
Kornelius Grein Groth;Düsseldorf;83798617;4;AT3;ACTIVE;null;0156093692;1977-11-25;Re332bjnW4
Wolf-Dietrich Röhrdanz;Hamburg;64773221;1;AT2;ACTIVE;null;0165759456;1985-04-24;oIgNRJMJtD
Helma Killer;Munich;91753186;3;AT1;ACTIVE;null;0178493957;1961-07-30;dhzig5ECHM
Konstantinos Wirth;Stuttgart;98393348;1;AT2;ACTIVE;null;0151157372;1982-06-15;EogbYhhzgk
Sibylla Kensy;Frankfurt;27740702;1;AT1;ACTIVE;null;0171868870;1975-11-29;FOt4eMuOSn
Annelies Sölzer;Düsseldorf;89754311;3;AT1;ACTIVE;null;0158366134;1973-11-27;sH0WVtVKOP
Vittorio Bachmann;Dresden;49822848;1;AT1;ACTIVE;null;0166125801;1976-04-05;J7OtDhrdlU
Alwine Rädel;Düsseldorf;59126795;1;AT2;ACTIVE;null;0178663458;1988-12-28;duutTr6eEz
Else Mülichen;Stuttgart;23161837;4;AT2;ACTIVE;null;0160432895;1987-03-24;k44XxvHqRI
Sebastian Binner;Hamburg;70038285;4;AT1;ACTIVE;null;0155228820;1960-10-18;SpTFs166dj
Mikhail Trommler;Essen;75924513;4;AT1;ACTIVE;null;0154680184;1977-10-03;4O3AB9r2pP
Gunar Scholz;Stuttgart;10241045;4;AT2;ACTIVE;null;0159544173;1967-07-27;kEGnbcuMin
Samir Rose;Leipzig;99092102;4;AT3;ACTIVE;null;0166792100;1991-05-22;6SDppl8bLJ
Ellen Bärer;Hamburg;80395067;4;AT1;ACTIVE;null;0166881200;1983-12-04;AYJ1F11WK3
Wulf Scheibe;Hamburg;53963099;3;AT1;ACTIVE;null;0175040355;1975-12-05;aBLXFs1Ing
Nick Stadelmann;Frankfurt;83195819;3;AT2;ACTIVE;null;0151350787;1993-04-12;e3mLJcJXPG
Silke Bähr;Frankfurt;94862258;3;AT1;ACTIVE;null;0167614743;1991-12-11;lThUS6XXh7
Mirja Kruschwitz;Frankfurt;94693819;3;AT3;ACTIVE;null;0177311535;1994-02-14;RnVE3mNlO3
Urs Gröttner;Munich;21856757;4;AT1;ACTIVE;null;0170715373;1994-02-16;juRUlgaERf
Gerhard Keudel;Stuttgart;76213729;4;AT2;ACTIVE;null;0160873791;1973-04-12;Kzw0acj69K
Cordula Dietz;Frankfurt;75286048;4;AT2;ACTIVE;null;0151456883;1992-08-19;huGrq5FWct
Harriet Pohl;Munich;94227976;3;AT1;ACTIVE;null;0165818719;1979-08-31;KMjllsY6h2
Erik Dörschner;Hamburg;20010349;1;AT1;ACTIVE;null;0154542265;1987-07-26;Ou8kKhoYHV
Hans-Joachim Döhn;Dresden;42153918;3;AT1;ACTIVE;null;0178374041;1982-07-08;O3v7FtTicK
Günther Finke;Hamburg;29693437;4;AT1;ACTIVE;null;0171681308;1983-07-30;QvNUg8lmz1
Christa Walter;Düsseldorf;11815045;3;AT2;ACTIVE;null;0168288446;1993-08-09;cABdAU0nsd
Kristin Trapp;Berlin;47888397;1;AT1;ACTIVE;null;0159413900;1978-02-03;8Y1MqEhnHk
Harry Killer;Munich;62490565;4;AT1;ACTIVE;null;0157909195;1990-03-20;lMnElU1DqB
Francesca Gieß;Dortmund;79439202;4;AT2;ACTIVE;null;0161109225;1984-01-07;NJkHKQXw6K
Süleyman Hänel;Dresden;23726804;1;AT2;ACTIVE;null;0159984177;1962-01-31;XwaLfhNRZX
Valentina Kade;Leipzig;26378366;1;AT3;ACTIVE;null;0151164009;1988-11-02;VcPfk58NFw
Theodora Seidel;Stuttgart;77636475;1;AT1;ACTIVE;null;0165298924;1970-03-09;ulBXBKejbT
Volkan Yaman;Leipzig;24778715;4;AT2;ACTIVE;null;0164235394;1968-11-18;HC3ZLyJSn0
Josip Klemm;Dortmund;83306125;4;AT3;ACTIVE;null;0159267683;1975-09-27;mEcLGLTUcA
Vera Schüler;Frankfurt;35904948;4;AT1;ACTIVE;null;0155910324;1968-11-07;dRu94PpuVk
Birthe Bien;Munich;65712726;3;AT3;ACTIVE;null;0168176569;1986-02-11;g4JCl0qO6V
Ralf-Peter Seifert;Frankfurt;63729071;4;AT3;ACTIVE;null;0168660328;1982-10-25;C5CwkpVm1N
Oswin Textor;Frankfurt;30799749;1;AT2;ACTIVE;null;0166052028;1968-03-15;JgY29iyX1j
Ricarda Ackermann;Essen;94521157;3;AT2;ACTIVE;null;0171538824;1960-11-26;YmqW5yeZ8e
Klaus-Peter Hänel;Frankfurt;11141455;1;AT1;ACTIVE;null;0179827270;1978-07-10;mwkDvBrpHx
Mato Conradi;Stuttgart;72686779;3;AT1;ACTIVE;null;0173499614;1980-05-13;8BAueFL96d
Manfred Hornig;Leipzig;61818950;3;AT1;ACTIVE;null;0176037285;1962-01-28;FyoTIatyHj
Karsten Berger;Berlin;14416937;1;AT2;ACTIVE;null;0177583268;1987-11-04;1tDAn0JCKw
Paulo Killer;Frankfurt;66940601;3;AT2;ACTIVE;null;0160629953;1985-10-28;20XetNBmAr
Karola Killer;Dresden;72988976;3;AT2;ACTIVE;null;0156056278;1996-04-29;LfOvp9xUEg
Alicja Winkler;Munich;56596533;3;AT1;ACTIVE;null;0173363367;1988-04-28;KSX0U3yvar
Korbinian Bärer;Essen;89913864;1;AT1;ACTIVE;5;0157424300;1991-09-07;oj9MEGet3G
Johanne Blümel;Leipzig;66168114;1;AT3;ACTIVE;null;0168794433;1986-04-04;M9xytNqhYh
Herma van der Dussen;Dresden;77918552;4;AT1;ACTIVE;null;0179303371;1979-05-09;whmR0A5Enc
Andre Loos;Berlin;96037032;3;AT3;ACTIVE;null;0152387584;1980-01-25;QkAWiPdvbj
Hardy Dussen van;Frankfurt;39789374;4;AT1;ACTIVE;null;0174371761;1979-12-07;8rGP7x0Est
Ariane Kobelt;Düsseldorf;82548779;3;AT2;ACTIVE;null;0157207144;1976-07-09;JC2abXaEvk
Arndt Werner;Berlin;57807487;3;AT3;ACTIVE;null;0153810596;1968-03-04;dbLv6HssM2
Franz-Peter Vogt;Essen;45245419;4;AT1;ACTIVE;null;0177953856;1975-01-07;HNGRelPSWp
Klaus-Peter Drubin;Hamburg;35097376;4;AT1;ACTIVE;null;0152168884;1983-06-14;wB3Usm4bQX
Nikolaos Davids;Dresden;50553556;1;AT1;ACTIVE;null;0157344306;1981-03-12;Xe6oDHosc1
Dan Hübel;Berlin;57432171;1;AT1;ACTIVE;null;0158486700;1978-08-30;O05evGdghd
Hans-Willi Klotz;Düsseldorf;76722359;1;AT1;ACTIVE;null;0159623373;1998-10-01;UysMs7qYWk
Irmtraud Hentschel;Munich;37246905;4;AT1;ACTIVE;null;0159048909;1968-06-18;pkFBv9XCTE
Dörthe Bähr;Hamburg;65124525;4;AT1;ACTIVE;null;0176531573;1982-08-14;wj0BZMwaLh
Sylwia Wilms;Hamburg;19793072;4;AT1;ACTIVE;null;0173649974;1983-10-25;qtbIlDUWng
Sylvie Schleich;Düsseldorf;35636281;3;AT1;ACTIVE;null;0160939166;1996-07-06;FyP8rv90J3
Theres Wulf;Frankfurt;63125007;4;AT1;ACTIVE;null;0168200718;1988-11-25;tx7SeJXDch
Daniel Sölzer;Hamburg;41675554;3;AT2;ACTIVE;null;0152909493;1990-06-08;yBnkxstxLs
Eric Ortmann;Stuttgart;29086669;1;AT1;ACTIVE;null;0156716666;1986-01-10;TpaIgtoVQ3
Florence Steckel;Frankfurt;26601385;3;AT1;ACTIVE;null;0162704139;1972-03-14;aoTJy3TrIc
Helma Beyer;Stuttgart;58010746;4;AT2;ACTIVE;null;0179183658;1977-06-29;wPNuHSJBSI
Irmela Bähr;Düsseldorf;64870074;1;AT1;ACTIVE;null;0169995585;1973-05-20;gWnZVlewV8
Leo Benthin;Essen;27374924;1;AT1;ACTIVE;null;0155089695;1998-05-28;q9roZhdhnx
Annelene Hoffmann;Düsseldorf;14664747;3;AT1;ACTIVE;null;0173314371;1961-07-03;AOOPOay52x
Alexei Jockel;Hamburg;94668242;1;AT1;ACTIVE;null;0163932004;1965-08-30;EZDb2hmCAC
Arthur Jäntsch;Munich;76320652;1;AT2;ACTIVE;null;0166659804;1974-12-09;rRipJ4bAW2
Mathias Graf;Berlin;20937689;4;AT1;ACTIVE;null;0178078563;1982-05-30;vRAH0gobbm
Gerold Stadelmann;Dortmund;61829081;4;AT1;ACTIVE;null;0170921434;1997-03-26;Cmj4p2YTUL
Reinhold Beier;Dresden;12651863;1;AT1;ACTIVE;null;0173407513;1989-01-02;UC9ltAlB1N
Gesche Rädel;Essen;54737679;1;AT2;ACTIVE;null;0170451815;1980-08-07;jQRCgxpVnG
Nikolaos Schomber;Düsseldorf;88709536;1;AT2;ACTIVE;null;0174221152;1971-04-12;40T0Q0VBZ7
Andrea Mentzel;Munich;19220155;1;AT1;ACTIVE;null;0166692595;1995-01-09;vZ1pfI1X1p
Jörn Mälzer;Essen;13602907;3;AT1;ACTIVE;null;0159305802;1976-06-21;o21LpvDS2R
Franka Hartmann;Dresden;27669797;4;AT1;ACTIVE;null;0159621433;1987-11-04;17EYQBqhcw
Jessica Wagner;Hamburg;29270260;3;AT1;ACTIVE;null;0150051697;1990-11-07;tM1L1snkOl
Katy Schleich;Frankfurt;11290571;4;AT1;ACTIVE;null;0174918490;1961-11-27;ITwaM86sx1
Wera Niemeier;Berlin;97394195;4;AT2;ACTIVE;null;0150371992;1970-10-06;PbBAV2umBd
Markus Flantz;Stuttgart;50258260;4;AT2;ACTIVE;null;0177898855;1996-07-08;AttwBWNPlT
Ian Ehlert;Stuttgart;56427800;4;AT1;ACTIVE;null;0163083823;1989-11-14;nWDo3DsVNv
Jost Carsten;Essen;51085623;4;AT2;ACTIVE;null;0170788819;1977-12-02;3RlUupVYBS
